,CodeVehicule_id,puissanceFiscal,typeImmatriculation,energie,dateInsertion,codeMarque,numImmatriculation
1107891,1494428,5,RS,ESSENCE,2018-02-13,107,RS81279
1107892,1494518,12,RS,GASOIL,2018-02-13,338,RS153052
1107893,1495226,6,TU,GASOIL,2018-02-13,323,7297TU192
1107894,1495422,5,TU,GASOIL,2018-02-13,29,8003TU183
1107895,1498530,10,TU,GASOIL,2018-02-13,178,1325TU108
1107896,1370023,5,TU,ESSENCE,2018-02-13,206,7564TU176
1107897,1370908,7,TU,GASOIL,2018-02-13,29,4044TU169
1107898,1370946,5,TU,ESSENCE,2018-02-13,206,7654TU184
1107899,1370963,6,TU,GASOIL,2018-02-13,323,4636TU176
1107900,1371048,5,TU,ESSENCE,2018-02-13,107,4569TU176
1107901,1371883,7,TU,ESSENCE,2018-02-13,107,933TU174
